Layer	Proposed (80% sparse)	Proposed (97.5% sparse)
Conv2d_0/weights/mask	0.5752315	0.6805556
Conv2d_1_depthwise/depthwise_weights/mask	0.590278	0.635417
Conv2d_1_pointwise/weights/mask	0.697754	0.806641
Conv2d_2_depthwise/depthwise_weights/mask	0.314236	0.479167
Conv2d_2_pointwise/weights/mask	0.561768	0.761475
Conv2d_3_depthwise/depthwise_weights/mask	0.290799	0.377604
Conv2d_3_pointwise/weights/mask	0.390259	0.648743
Conv2d_4_depthwise/depthwise_weights/mask	0.091146	0.257813
Conv2d_4_pointwise/weights/mask	0.406738	0.742615
Conv2d_5_depthwise/depthwise_weights/mask	0.157118	0.325521
Conv2d_5_pointwise/weights/mask	0.391007	0.796631
Conv2d_6_depthwise/depthwise_weights/mask	0.047309	0.254774
Conv2d_6_pointwise/weights/mask	0.521675	0.889237
Conv2d_7_depthwise/depthwise_weights/mask	0.159071	0.418403
Conv2d_7_pointwise/weights/mask	0.534363	0.918793
Conv2d_8_depthwise/depthwise_weights/mask	0.116754	0.404297
Conv2d_8_pointwise/weights/mask	0.4646	0.899296
Conv2d_9_depthwise/depthwise_weights/mask	0.083116	0.423177
Conv2d_9_pointwise/weights/mask	0.453156	0.901768
Conv2d_10_depthwise/depthwise_weights/mask	0.087674	0.418837
Conv2d_10_pointwise/weights/mask	0.41943	0.895851
Conv2d_11_depthwise/depthwise_weights/mask	0.072266	0.412977
Conv2d_11_pointwise/weights/mask	0.3797	0.89386
Conv2d_12_depthwise/depthwise_weights/mask	0.03342	0.403863
Conv2d_12_pointwise/weights/mask	0.475405	0.941938
Conv2d_13_depthwise/depthwise_weights/mask	0.170898	0.665256
Conv2d_13_pointwise/weights/mask	0.610599	0.969194
